train_start,train_end,test_start,test_end,chosen,sma,bull,bear,test_cagr,fixed_cagr,one_x_cagr
1926-07-01,1946-06-30,1946-07-01,1951-06-30,sma175_bull0.35_bear0.00,175,0.35,0.0,0.11751114548363462,0.12675220584768532,0.06392519753405401
1931-07-01,1951-06-30,1951-07-01,1956-06-30,sma175_bull0.40_bear0.00,175,0.4,0.0,0.5862429240788969,0.5727312033323619,0.2099583785565644
1936-07-01,1956-06-30,1956-07-01,1961-06-30,sma175_bull0.40_bear0.00,175,0.4,0.0,0.2587534590169145,0.26725904520932464,0.11339428255209905
1941-07-01,1961-06-30,1961-07-01,1966-06-30,sma200_bull0.40_bear0.00,200,0.4,0.0,0.21187267778066166,0.18056266779192942,0.08501616408997958
1946-07-01,1966-06-30,1966-07-01,1971-06-30,sma225_bull0.40_bear0.00,225,0.4,0.0,0.2340218936092855,0.16672609373636593,0.07430453917926516
1951-07-01,1971-06-30,1971-07-01,1976-06-30,sma175_bull0.40_bear0.00,175,0.4,0.0,0.14350344175619,0.08886791471932165,0.03158689158543626
1956-07-01,1976-06-30,1976-07-01,1981-06-30,sma175_bull0.40_bear0.00,175,0.4,0.0,0.08576635611478856,0.1173514922475043,0.1320219157357161
1961-07-01,1981-06-30,1981-07-01,1986-06-30,sma175_bull0.40_bear0.00,175,0.4,0.0,0.40123389796928555,0.3327402522182952,0.1877076325725795
1966-07-01,1986-06-30,1986-07-01,1991-06-30,sma200_bull0.40_bear0.00,200,0.4,0.0,0.12770923822879965,0.14410262723080036,0.09844862439779911
1971-07-01,1991-06-30,1991-07-01,1996-06-30,sma225_bull0.40_bear0.00,225,0.4,0.0,0.3422824980807786,0.34832924351454575,0.1597090297727899
1976-07-01,1996-06-30,1996-07-01,2001-06-30,sma225_bull0.40_bear0.00,225,0.4,0.0,0.1730954883290996,0.11321199759984624,0.13295257316193898
1981-07-01,2001-06-30,2001-07-01,2006-06-30,sma225_bull0.40_bear0.00,225,0.4,0.0,0.03504619588845492,0.018743823752231714,0.036841043185526834
1986-07-01,2006-06-30,2006-07-01,2011-06-30,sma225_bull0.40_bear0.00,225,0.4,0.0,0.10113638989800777,0.09771161297079312,0.036948621076074106
1991-07-01,2011-06-30,2011-07-01,2016-06-30,sma225_bull0.40_bear0.00,225,0.4,0.0,0.1316934845112705,0.14283372772794678,0.11544349173064106
1996-07-01,2016-06-30,2016-07-01,2021-06-30,sma225_bull0.40_bear0.05,225,0.4,0.05,0.3451083971747413,0.3362930580330641,0.1884357198201041
2001-07-01,2021-06-30,2021-07-01,2026-06-30,sma225_bull0.40_bear0.15,225,0.4,0.15,0.1920225380963736,0.15678722235847276,0.12315716081478123
